"count","url_host_registered_domain"
"154854","ark.no"
"154786","detailersclub.no"
"152467","onoffice.no"
"151720","njk.no"
"149942","plus500.no"
"148709","maske.no"
"145810","bueforum.no"
"143533","ntbinfo.no"
"143038","nifs.no"
"142943","nb.no"
"139753","xxl.no"
"139748","dvb.no"
"138900","spillespill.no"
"135818","idrettenonline.no"
"133807","tine.no"
"132845","komplettfritid.no"
"132543","cappelendammundervisning.no"
"131560","morgenbladet.no"
"131368","vgd.no"
"130657","dekoria.no"
"128299","co.no"
"127765","altomfotball.no"
"124183","enerwe.no"
"124084","banenor.no"
"124063","cdon.no"
"120990","dn.no"
"120899","hiof.no"
"120018","teknikmagasinet.no"
"119660","jernia.no"
"118988","udir.no"
"118798","lovdata.no"
"118716","fjellforum.no"
"118653","rbkweb.no"
"118386","femelle.no"
"118327","skiforeningen.no"
"117924","npolar.no"
"117268","fritanke.no"
"117260","scandichotels.no"
"116927","kxweb.no"
"116594","orientering.no"
"116164","adressa.no"
"115823","loplabbet.no"
"115170","sangtekster.no"
"114529","vitusapotek.no"
"113508","dagsavisen.no"
"112376","viivilla.no"
"112233","ticketmaster.no"
"112192","nickelodeon.no"
"111948","sceneweb.no"
"111045","telefonterror.no"
"110171","forskning.no"
"109384","insideflyer.no"
"108754","idag.no"
"107600","sandnesgarn.no"
"107338","hotelspecials.no"
"107061","lokalhistoriewiki.no"
"106875","mic.no"
"106772","vegvesen.no"
"106452","mc-forumet.no"
"106115","epla.no"
"105794","radioh.no"
"105690","katolsk.no"
"105387","nasjonalmuseet.no"
"105262","nhi.no"
"103959","rights.no"
"102630","google.no"
"102489","artsdatabanken.no"
"101933","sprayblogg.no"
"101192","kunsthall.no"
"100885","nlf.no"
"100603","insidetelecom.no"
"99897","p3.no"
"99258","homeaway.no"
"99112","avisenagder.no"
"97960","norsardata.no"
"97123","multitrend.no"
"95417","elektroimportoren.no"
"95103","finn.no"
"94956","filmweb.no"
"94656","bibel.no"
"94523","sedenne.no"
"94410","skiforbundet.no"
"94257","frifagbevegelse.no"
"93871","kursguiden.no"
"93623","freak.no"
"92919","phone.no"
"92455","agoda.no"
"92363","skatteetaten.no"
"91956","rogalyd.no"
"90701","rockipedia.no"
"90092","pirate4x4.no"
"88974","careofcarl.no"
"88800","lookingforbooking.no"
"88738","bedriftsbasen.no"
"88442","bangerhead.no"
"88001","openaccess.no"
"87658","legeforeningen.no"
"86930","viafree.no"
"85257","8180.no"
"85119","groove.no"
"84979","camping.no"
"84815","sunnmoreventilasjon.no"
"84692","uia.no"
"84582","zalando.no"
"84284","panorama.no"
"84251","qxl.no"
"83465","bokelskere.no"
"83349","coop.no"
"83252","osloskolen.no"
"82729","lyko.no"
"82078","villeroy-boch.no"
"81995","nearadio.no"
"81639","ptil.no"
"81497","dimag.no"
"81125","vgb.no"
"80886","antidoping.no"
"80669","h-a.no"
"80662","gamereactor.no"
"80516","hestene.no"
"80484","quarrylifeaward.no"
"79875","itavisen.no"
"79710","eub.no"
"79616","coverbrands.no"
"78548","norwayexports.no"
"78520","bonial.no"
"78497","naturogfritid.no"
"78204","met.no"
"78109","diskusjonsforum.no"
"78099","bokkilden.no"
"77887","ous-research.no"
"77688","emnordic.no"
"77006","weblogg.no"
"76678","notabene.no"
"76675","staples.no"
"76440","sandnesposten.no"
"76084","berglitruckstop.no"
"76078","friluftsleiren.no"
"75262","heliport.no"
"75208","idg.no"
"74917","lommelegen.no"
"74759","tungt.no"
"74708","reiseguiden.no"
"74593","meny.no"
"74383","barnehage.no"
"74290","siste.no"
"73949","ung.no"
"72774","norway.no"
"72704","allerinternett.no"
"72701","nif.no"
"72649","verdal.kommune.no"
"72608","felleskatalogen.no"
"72192","hopechannel.no"
"72118","restplass.no"
"72073","akvaforum.no"
"71025","whocc.no"
"70430","sjakklubb.no"
"70144","medier24.no"
"70063","alatest.no"
"70050","fhi.no"
"69896","nersc.no"
"69722","bridge.no"
"69526","netfonds.no"
"69356","flirt4free.no"
"67572","skatepro.no"
"67230","oikos.no"
"66352","nrksuper.no"
"66319","gbnett.no"
"66206","infodesign.no"
"66173","nmbu.no"
"65304","ba.no"
"65259","daria.no"
"65200","miljodirektoratet.no"
"65102","nordicfest.no"
"64991","uni.no"
"64876","himolde.no"
"64835","sportsevents365.no"
"64489","fiksgatami.no"
"64435","norskeserier.no"
"64420","sony.no"
"64154","bi.no"
"63645","blogsoft.no"
"63630","nordicchoicehotels.no"
"63507","startsiden.no"
"63278","mdg.no"
"63231","visma.no"
"63050","blopp.no"
"62994","bdb.no"
"62866","zizzi.no"
"62646","forsvarsbygg.no"
"62336","matportalen.no"
"62329","bibsent.no"
"62290","shirtcity.no"
"62179","biltema.no"
"62169","retro.no"
"61889","atb.no"
"61877","nytid.no"
"61840","mittanbud.no"
"61793","cmi.no"
"61669","nlr.no"
"61637","sport1.no"
"61367","rodekors.no"
"61204","deichman.no"
"60694","modellflynytt.no"
"60668","nordicnet.no"
"60584","comsol.no"
"60378","itromso.no"
"60334","momondo.no"
"60122","bimmers.no"
"59813","geologi.no"
"59539","nupi.no"
"59421","lyrics.no"
"59403","rb.no"
"59401","omtal.no"
"59181","scandinaviandesigncenter.no"
"59162","oslomet.no"
"58966","purehelp.no"
"58966","kid.no"
"58815","tigernet.no"
"58632","bjorklund.no"
"58552","nina.no"
"58459","fotoeske.no"
"58397","musikk-miljo.no"
"58369","yaha.no"
"58272","yelp.no"
"57852","erikbolstad.no"
"57723","levanger.kommune.no"
"57445","fagbokforlaget.no"
"57323","fylkesmannen.no"
"57308","homeandcottage.no"
"57237","dagen.no"
"56707","norgeskommunekalender.no"
"56403","jbl.no"
"56276","amerikanskpolitikk.no"
"56151","e24.no"
"56008","730.no"
"55878","just-eat.no"
"55835","cmore.no"
"55227","oslohudlegesenter.no"
"55165","helsenett.no"
"55037","trendsales.no"
"54958","nhh.no"
"54652","kartverket.no"
"54455","lekmer.no"
"54202","unlock.no"
"53804","kiwi.no"
"53733","thelocal.no"
"53685","apotek1.no"
"53524","usn.no"
"53512","elkjop.no"
"53333","aschehoug.no"
"53307","lyngdalsavis.no"
"53181","at.no"
"52970","kondis.no"
"52909","namdalsavisa.no"
"52745","trademax.no"
"52713","resett.no"
"52668","canon.no"
"52253","ordtak.no"
"52244","alvestrand.no"
"52062","helsebiblioteket.no"
"51921","solfaktor.no"
"51796","mcsiden.no"
"51664","hjelptilhjelp.no"
"51534","finansnorge.no"
"51294","varsom.no"
"51018","ballade.no"
"50972","smp.no"
"50827","inkmann.no"
"50683","gratis-annonse.no"
"50623","bileier.no"
"50584","blogglisten.no"
"50345","helsetilsynet.no"
"50075","toll.no"
"49901","mekonomen.no"
"49759","tirendo.no"
"49718","komplett.no"
"49707","stoltzen.no"
"49346","krimklubben.no"
"49330","klassekampen.no"
"49266","kk.no"
"48849","oslo-universitetssykehus.no"
"48577","illvit.no"
"48552","kolonial.no"
"48519","altomreiser.no"
"48483","akersposten.no"
"48250","n4f.no"
"48220","hil.no"
"48090","milrab.no"
"47932","asker.kommune.no"
"47833","yves-rocher.no"
"47762","trinesmatblogg.no"
"47553","utrop.no"
"47480","desu.no"
"47469","viatorcom.no"
"47448","proff.no"
"47221","dnb.no"
"47184","bikester.no"
"47012","statkraft.no"
"46918","bjornendreandersen.no"
"46876","nlck.no"
"46401","dnt.no"
"46362","tidsskriftet.no"
"46293","dekk-komp.no"
"46228","f-b.no"
"46215","evenes.kommune.no"
"46135","psa.no"
"46104","newsinenglish.no"
"45843","oslosportslager.no"
"45818","brikkelauget.no"
"45655","nye-troms.no"
"45645","4x4norway.no"
"45630","adamogeva.no"
"45537","desenio.no"
"45373","oslo.kommune.no"
"45343","gsport.no"
"45300","kvinneguiden.no"
"45298","kyrkja.no"
"45210","simula.no"
"45176","nvak.no"
"45139","jobbnorge.no"
"45100","vartoslo.no"
"44893","nkk.no"
"44782","standard.no"
"44729","vb.no"
"44707","skyscanner.no"
"44645","nordnorskdebatt.no"
"44614","bama.no"
"44573","nationen.no"
"44490","rikstv.no"
"44450","rittresultater.no"
"44369","astridterese.no"
"44312","festmagasinet.no"
"44125","hundesonen.no"
"44078","webby.no"
"44017","vistaprint.no"
"43887","rlb.no"
"43882","listen.no"
"43734","stylepit.no"
"43726","budstikka.no"
"43701","mineoppskrifter.no"
"43666","visitoslofjord.no"
"43552","regus.no"
"43547","vaf.no"
"43527","kryssordkjempen.no"
"43201","sprakradet.no"
"43124","n24.no"
"43027","kommunenokkelen.no"
"43012","visittromso.no"
"43011","veientilhelse.no"
"42920","strandbuen.no"
"42860","traktor.no"
"42846","musikkbloggen.no"
"42788","plantasjen.no"
"42699","babycare.no"
"42611","hsmai.no"
"42458","bohus.no"
"42292","bygghjemme.no"
"42259","forskningsradet.no"
"42177","fargelegg.no"
"42053","helse-bergen.no"
"42043","arkivplan.no"
"41741","xn--bodposten-n8a.no"
"41678","norges-bank.no"
"41667","mikromarc.no"
"41447","nlb.no"
"41353","rockefeller.no"
"41277","eqtiming.no"
"41163","novasol.no"
"41138","msccruises.no"
"41019","religioner.no"
"40974","klanen.no"
"40925","bowlingres.no"
"40898","bademiljo.no"
"40894","lhl.no"
"40851","side2.no"
"40761","amap.no"
"40601","bergensmagasinet.no"
"40355","ibooked.no"
"40353","indre.no"
"40318","hjorundfjord.no"
"40314","miinto.no"
"40283","studenttorget.no"
"40228","dt.no"
"40145","kilroy.no"
"40040","liverpool.no"
"39960","avinor.no"
"39927","setesdalswiki.no"
"39838","tvvest.no"
"39673","rbnett.no"
"39533","tronsmo.no"
"39503","bfk.no"
"39468","energica.no"
"39376","klubb.no"
"39369","xn--miljdirektoratet-oxb.no"
"39302","bek.no"
"39293","sportreiser.no"
"39286","coolstuff.no"
"39251","skrotnissen.no"
"39189","huseierne.no"
"39126","deltager.no"
"39084","posten.no"
"39079","bloppis.no"
"39073","nofima.no"
"39044","rotary.no"
"39016","moss-avis.no"
"38998","prisjakt.no"
"38837","vikna.kommune.no"
"38765","raymarine.no"
"38761","sweater.no"
"38752","porten.no"
"38692","tilbo.no"
"38667","nve.no"
"38570","test.no"
"38502","birdlife.no"
"38497","operaen.no"
"38423","tui.no"
"38335","heimskringla.no"
"38219","nordlys.no"
"37976","kreativtforum.no"
"37945","homoludens.no"
"37875","teknologia.no"
"37803","kulturnett.no"
"37737","vol.no"
"37682","politiforum.no"
"37542","lampegiganten.no"
"37324","verdidebatt.no"
"37164","europalov.no"
"37122","framtida.no"
"37070","fitnessbloggen.no"
"36951","nille.no"
"36868","kystriksveien.no"
"36861","nav.no"
"36854","scantrade.no"
"36810","ranablad.no"
"36687","gratisnettside.no"
"36621","reiseplaneten.no"
"36568","feriebolig-spania.no"
"36563","erepublik.no"
"36448","webavisen.no"
"36392","eiendomsmegler1.no"
"36257","boreal.no"
"36199","telecomputing.no"
"36193","burkert.no"
"36104","hifisentralen.no"
"36038","musikkforlagene.no"
"35924","battle.no"
"35909","universitetsavisa.no"
"35905","til.no"
"35865","blaaoslo.no"
"35571","flixfilmer.no"
"35563","sa.no"
"35558","gd.no"
"35554","ifinnmark.no"
"35543","khio.no"
"35541","lydrommet.no"
"35520","kickback.no"
"35497","bokklubben.no"
"35414","lov2xlr8.no"
"35327","nordicfeel.no"
"35325","spoortz.no"
"35307","s-n.no"
"35294","friflyt.no"
"35253","glomdalen.no"
"35241","elbil.no"
"35127","infoto.no"
"35056","fashionstreet.no"
"35043","bekkelagets.no"
"35020","brownells.no"
"34978","awaz.no"
"34909","livsstilsguiden.no"
"34812","lydbokforlaget.no"
"34786","ta.no"
"34719","utdanning.no"
"34696","vikjavev.no"
"34681","medley.no"
"34675","karrierestart.no"
"34595","nmh.no"
"34560","sio.no"
"34512","jobbportalen.no"
"34256","expedia.no"
"34252","1-urlm.no"
"34201","h-avis.no"
"33992","difi.no"
"33958","bodo.kommune.no"
"33947","killerinktattoo.no"
"33934","ajprodukter.no"
"33891","ving.no"
"33857","dansommer.no"
"33801","elektronikkbransjen.no"
"33752","nilu.no"
"33649","aho.no"
"33626","sulland.no"
"33615","flyprat.no"
"33543","londonmusikaler.no"
"33502","an.no"
"33496","ringerike.kommune.no"
"33456","babyverden.no"
"33407","komputer.no"
"33315","udiregelverk.no"
"33294","joker.no"
"33272","inn.no"
"33256","canariajournalen.no"
"33223","amcarforum.no"
"33148","ticmate.no"
"33101","barbershop.no"
"33024","digital-foto.no"
"32984","1885.no"
"32966","jernbaneverket.no"
"32829","vareminnesider.no"
"32796","musikknyheter.no"
"32762","etikkom.no"
"32726","laaav.no"
"32540","iverneumann.no"
"32376","corvetteclub.no"
"32300","oslobilder.no"
"32253","toi.no"
"32243","rorbuer.no"
"32189","glitter.no"
"32183","leteng.no"
"32162","trondheim.kommune.no"
"32102","svinoya.no"
"32060","electrolux.no"
"32056","hgh.no"
"31973","lysbutikken.no"
"31913","bergen.kommune.no"
"31881","skeivtarkiv.no"
"31841","sb.no"
"31837","ordsiden.no"
"31747","frivilligsentral.no"
"31726","vl.no"
"31722","sportamore.no"
"31693","kreftforeningen.no"
"31637","nr.no"
"31605","oa.no"
"31587","uninett.no"
"31585","pickles.no"
"31529","norskgolf.no"
"31516","kelkoo.no"
"31502","spill.no"
"31436","gonorway.no"
"31425","tk.no"
"31416","adriatic-home.no"
"31388","tb.no"
"31382","byggebolig.no"
"31361","storytel.no"
"31344","onshus.no"
"31334","listento.no"
"31298","nettblogg.no"
"31255","bokloftet.no"
"31188","flisekompaniet.no"
"31106","barnasegenbokverden.no"
"31089","apl.no"
"31069","storegjerdesamlinga.no"
"31014","domstol.no"
"30984","sjohistorie.no"
"30973","speidermuseet.no"
"30963","bergfreunde.no"
"30924","terrengsykkel.no"
"30790","khrono.no"
"30722","npd.no"
"30687","fredrikgyllensten.no"
"30615","stallholand.no"
"30574","drikkelig.no"
"30519","deal.no"
"30500","pahoyden.no"
"30445","stolav.no"
"30419","hagegal.no"
"30381","24mx.no"
"30343","helsedirektoratet.no"
"30289","p4.no"
"30251","npsmusic.no"
"30183","errors.no"
"30159","herrnilsen.no"
"30144","avshop.no"
"30067","fni.no"
"29989","vinmonopolet.no"
"29966","nu3.no"
"29942","tylden.no"
"29925","hvaskjeribaerum.no"
"29843","123spill.no"
"29832","folkebladet.no"
"29824","motor.no"
"29821","psykologisk.no"
"29811","vkm.no"
"29798","dagensperspektiv.no"
"29768","hoyer.no"
"29707","heavymetal.no"
"29641","benum.no"
"29593","samlaget.no"
"29498","babyshop.no"
"29497","abcblogg.no"
"29425","pollofpolls.no"
"29410","virke.no"
"29369","hvaler.kommune.no"
"29367","husbanken.no"
"29345","musikkorps.no"
"29336","scandinavianphoto.no"
"29333","voxpublica.no"
"29328","ingenioren.no"
"29318","europages.no"
"29292","kunnskap6.no"
"29272","geoforskning.no"
"29246","bilxtra.no"
"29224","sesilami.no"
"29192","travelstart.no"
"29186","mossfk.no"
"29162","auroragroup.no"
"29142","fastlegeportalen.no"
"29108","bosch-home.no"
"29062","mre.no"
"29039","mobilblogg.no"
"29000","lysnes-batforening.no"
"28971","royaldesign.no"
"28958","furniturebox.no"
"28837","oktober.no"
"28808","fagbladet.no"
"28802","filterfilmogtv.no"
"28696","toyota.no"
"28624","newutd.no"
"28590","nordicblacktheatre.no"
"28574","finndel.no"
"28547","vfk.no"
"28537","bilforumet.no"
"28526","fremover.no"
"28500","itpro.no"
"28470","garshol.priv.no"
"28348","undulater.no"
"28269","ostlendingen.no"
"28240","visittelemark.no"
"28222","kortshop.no"
"28190","gratiskryssord.no"
"28169","spillsjefen.no"
"28155","ksys.no"
"28122","outnorth.no"
"28092","helsenorge.no"
"27994","bestille.no"
"27983","bytt.no"
"27974","bergeneholm.no"
"27972","hemne.kommune.no"
"27971","mymuse.no"
"27965","kidsbrandstore.no"
"27940","fisking.no"
"27926","lydogbilde.no"
"27913","cg.no"
"27804","steinkjerleksikonet.no"
"27795","elutstyr.no"
"27726","psykologtidsskriftet.no"
"27723","stocktalk.no"
"27646","lensway.no"
"27588","telenor.no"
"27555","studievalg.no"
"27494","vpn.no"
"27485","ip.no"
"27481","sixt.no"
"27480","sva.no"
"27452","kreftlex.no"
"27394","altaposten.no"
"27389","fitjar.kommune.no"
"27290","itello.no"
"27282","fiskeribladet.no"
"27266","tekna.no"
"27196","kunstkritikk.no"
"27186","nhc.no"
"27116","catawiki.no"
"27063","altia.no"
"27045","blekkpatron.no"
"27021","torshovsport.no"
"27018","norskebunader.no"
"26992","ringblad.no"
"26992","nportal.no"
"26952","miljolare.no"
"26910","sornett.no"
"26852","danmusikk.no"
"26847","parfymeri.no"
"26774","lazzaroni.no"
"26715","okokrim.no"
"26711","costume.no"
"26690","brondum.no"
"26644","arkitekturnytt.no"
"26638","fabel.no"
"26623","bikeport.no"
"26598","dintur.no"
"26539","ellos.no"
"26534","elbilforum.no"
"26530","tara.no"
"26515","bilnorge.no"
"26515","underskog.no"
"26506","mshockey.no"
"26402","blindeforbundet.no"
"26399","petro.no"
"26398","kriweb.no"
"26333","proshop.no"
"26301","hihm.no"
"26286","klubbinfo.no"
"26279","retsch.no"
"26273","bilstereoforumet.no"
"26180","arkitektur.no"
"26120","kulturminnesok.no"
"26085","matvaretabellen.no"
"26073","allkunne.no"
"26060","loqal.no"
"26045","bygdebladet.no"
"26026","rubrikk.no"
"26009","hooks.no"
"25962","123hjemmeside.no"
"25960","fiskevatn.no"
"25900","martehelgetun.no"
"25890","itet.no"
"25819","forsvaret.no"
"25811","clickwalk.no"
"25808","archlinux.no"
"25807","gaveideer.no"
"25800","laagendalsposten.no"
"25764","trakkemaskin.no"
"25759","idunn.no"
"25752","parfyme-klikk.no"
"25728","kulturskoleradet.no"
"25703","hib.no"
"25676","med24.no"
"25671","dancenter.no"
"25669","fyr.no"
"25633","atvforumet.no"
"25618","journalisten.no"
"25580","serienytt.no"
"25559","120hours.no"
"25555","allposters.no"
"25509","vita.no"
"25497","kraftnytt.no"
"25440","medialt.no"
"25409","kvitfjell.no"
"25397","handball.no"
"25377","innebandy.no"
"25377","dyrsrettigheter.no"
"25345","bedriftsidretten.no"
"25323","panasonic.no"
"25306","styrkeloft.no"
"25279","dyresiden.no"
"25274","njff.no"
"25247","nyteknikk.no"
"25182","partsandretards.no"
"25173","metalsupply.no"
"25164","cas.oslo.no"
"25131","statsbudsjettet.no"
"25102","skiskyting.no"
"25088","sykletiljobben.no"
"25084","t-a.no"
"25003","glitretid.no"
"24969","iphonehuset.no"
"24932","julebygda.no"
"24927","side3.no"
"24914","erikvalebrokk.no"
"24854","hjemmekino.no"
"24853","helse-stavanger.no"
"24837","rasehund.no"
"24800","statnett.no"
"24796","barnibyen.no"
"24796","rema.no"
"24795","proisp.no"
"24745","enova.no"
"24737","op.no"
"24668","mrfylke.no"
"24643","bridesire.no"
"24595","kontohjelp.no"
"24567","finnmarkssykehuset.no"
"24558","apollo.no"
"24540","econa.no"
"24523","spar.no"
"24520","byendin.no"
"24393","nordsjo.no"
"24365","nih.no"
"24326","liberaleren.no"
"24323","milslukern.no"
"24258","kulturradet.no"
"24235","monicajensen.no"
"24233","hamar.kommune.no"
"24195","haldensk.no"
"24187","filmforumet.no"
"24184","travsport.no"
"24176","lampedirekte.no"
"24148","bergenbibliotek.no"
"24095","pvklubben.no"
"24078","nationaltheatret.no"
"24075","rorkjop.no"
"24073","birk.no"
"24063","reiselivsbasen.no"
"24039","kmspeider.no"
"24022","webgruppen.no"
"23945","fontene.no"
"23944","minskole.no"
"23931","candydesign.no"
"23899","steinerskolen.no"
"23893","tussa.no"
"23861","kreftforeningens-blogg.no"
"23841","staypro.no"
"23807","xn--lhund-uua.no"
"23796","alesund.kommune.no"
"23791","langsveien.no"
"23762","walhalla.no"
"23750","floyd.no"
"23748","kaldor.no"
"23741","fellesforbundet.no"
"23694","princessbutikken.no"
"23674","fagforbundet.no"
"23663","varden.no"
"23616","kugo.no"
"23582","norgeskatalogen.no"
"23544","norut.no"
"23521","trainingportal.no"
"23496","lillevinkelsko.no"
"23470","discovery.no"
"23445","hevtollgrensa.no"
"23412","eidsvollsmenn.no"
"23397","nito.no"
"23362","minetegneserier.no"
"23349","fkra.no"
"23259","vestreviken.no"
"23240","sagat.no"
"23202","bigdipper.no"
"23199","zoologi.no"
"23179","lepidoptera.no"
"23166","scrapomania.no"
"23137","ringeriksavisa.no"
"23131","elektroskandia.no"
"23126","firda.no"
"23096","ebillett.no"
"23083","japanphoto.no"
"23075","steigan.no"
"23068","jazzinorge.no"
"23064","dapper.no"
"23031","innovasjonnorge.no"
"23026","listafuglestasjon.no"
"23017","jacobs.no"
"23017","obos.no"
"23002","melkoghonning.no"
"22994","askbok.no"
"22984","hivolda.no"
"22955","oncolex.no"
"22933","vennertilmiddag.no"
"22906","nll.no"
"22872","lysman.no"
"22837","politiet.no"
"22798","emp-shop.no"
"22791","reisefeber.no"
"22769","oblad.no"
"22758","naturbokhandelen.no"
"22750","magasinett.no"
"22747","universitas.no"
"22707","jjshouse.no"
"22663","nfkino.no"
"22648","unn.no"
"22644","moldeseilforening.no"
"22633","nokiantyres.no"
"22631","kondomeriet.no"
"22590","lmd.no"
"22564","norbrygg.no"
"22552","norskindustri.no"
"22546","datametrix.no"
"22514","experis.no"
"22492","eros.no"
"22484","miff.no"
"22478","selvaagbolig.no"
"22423","bioforsk.no"
"22414","hafjell.no"
"22408","rolv.no"
"22408","byggmax.no"
"22388","sandefjordpaintball.no"
"22386","bilinform.no"
"22385","orkanger-if.no"
"22378","drammen.kommune.no"
"22355","bokeksperten.no"
"22343","spillhistorie.no"
"22271","legemiddelverket.no"
"22265","fjalar.no"
"22264","morsmal.no"
"22256","bufdir.no"
"22240","smartepenger.no"
"22221","nortura.no"
"22154","sarpsborgmynthandel.no"
"22134","bilnyheter.no"
"22090","judo.no"
"22085","sildelaget.no"
"22084","mestergronn.no"
"22075","stangeavisa.no"
"22050","autohifi.no"
"22044","seas.no"
"21994","akademika.no"
"21979","kongehuset.no"
"21966","ngu.no"
"21955","ra.no"
"21925","iris.no"
"21823","x-life.no"
"21788","sol.no"
"21786","digitalimpuls.no"
"21777","kampforum.no"
"21773","verdensmat.no"
"21727","rockeklubben.no"
"21723","stange.kommune.no"
"21706","timeanddate.no"
"21698","dfs.no"
"21691","sande-mr.kommune.no"
"21675","sognavis.no"
"21649","minikids.no"
"21571","rafens.no"
"21549","ge.no"
"21534","bortebest.no"
"21512","sjakknytt.no"
"21507","frelsesarmeen.no"
"21476","dataspesialisten.no"
"21468","oavis.no"
"21430","krogsveen.no"
"21409","vwnorge.no"
"21386","shifter.no"
"21361","klingel.no"
"21347","biip.no"
"21327","radionordkapp.no"
"21265","finnmarkslopet.no"
"21236","seljord.kommune.no"
"21164","stoyforeningen.no"
"21159","lillesand.kommune.no"
"21153","nsf.no"
"21143","caliroots.no"
"21142","lawostore.no"
"21104","menneske.no"
"21082","artgate.no"
"21060","kristingjelsvik.no"
"21043","varmefag.no"
"21040","diskusjon.no"
"21039","tilbords.no"
"21038","trolljenta.no"
"21021","tv3.no"
"21013","liernett.no"
"21008","henrikbeckheim.no"
"21004","tights.no"
"21000","hvl.no"
"20980","ut.no"
"20965","nameon.no"
"20897","pappmaskin.no"
"20847","helse-mr.no"
"20825","mytrendyphone.no"
"20803","isolor.no"
"20772","sjomannskirken.no"
"20754","trendhim.no"
"20749","magnelero.no"
"20745","sunnhordland.no"
"20741","calibra.no"
"20726","sfj.no"
"20711","leieting.no"
"20702","oslo2013.no"
"20664","eurosport.no"
"20661","isay.no"
"20633","norwaypost.no"
"20612","nocc.no"
"20610","energiogklima.no"
"20603","scrappeland.no"
"20593","flak.no"
"20582","stavanger.kommune.no"
"20550","hnytt.no"
"20520","hageland.no"
"20403","arbeidsmiljo.no"
"20383","2d6.no"
"20382","naturvernforbundet.no"
"20380","bestmarin.no"
"20365","start.no"
"20360","vestagdermuseet.no"
"20355","dagensmedisin.no"
"20350","rosa.no"
"20321","vestbrygg.no"
"20294","stenaline.no"
"20293","brr.no"
"20281","metodistkirken.no"
"20279","op-5.no"
"20262","pierrerobert.no"
"20237","netsense.no"
"20225","life.no"
"20198","ofa.no"
"20196","frukt.no"
"20180","ffo.no"
"20168","bandyforbundet.no"
"20161","gitarnorge.no"
"20147","kystmagasinet.no"
"20134","musikk.no"
"20106","myprotein.no"
"20106","historienet.no"
"20094","ipet.no"
"20053","rarelink.no"
"19978","hebeos.no"
"19974","bokpanett.no"
"19972","barnehageforum.no"
"19967","ht.no"
"19928","udi.no"
"19907","essenza.no"
